TripID,ParkingSearch_StartingTime,ParkingSearch_EndingTime,Familiar_With_Destination,Parking_Location_Type,Parking_Cost_Status,Parking_Search_Duration_min,Parking_Search_Duration_min_Predicted,PSD_MAE
05202011261947,2020-11-26 20:20:18,2020-11-26 20:22:01,1,on-street,Free,1.7166666666666666,1.15,0.5666666666666667
01202011050748,2020-11-05 07:57:10,2020-11-05 08:00:00,1,on-street,Paid,2.833333333333333,2.933333333333333,0.10000000000000009
01202011081503,2020-11-08 15:23:45,2020-11-08 15:24:30,1,on-street,Free,0.75,0.31666666666666665,0.43333333333333335
01202011081454,2020-11-08 15:02:20,2020-11-08 15:02:20,1,off-street,Free,0.0,1.25,1.25
01202011141400,2020-11-14 14:08:50,2020-11-14 14:09:12,0,off-street,Free,0.3666666666666666,0.21666666666666667,0.1499999999999999
01202011141710,2020-11-14 17:28:30,2020-11-14 17:28:30,1,off-street,Free,0.0,1.1333333333333333,1.1333333333333333
01202011211324,2020-11-21 13:33:15,2020-11-21 13:34:01,0,off-street,Free,0.7666666666666667,0.7666666666666667,0.0
01202011211356,2020-11-21 14:02:20,2020-11-21 14:04:10,0,on-street,Free,1.8333333333333333,0.9,0.9333333333333332
01202011211416,2020-11-21 14:17:30,2020-11-21 14:20:15,0,off-street,Free,2.75,3.683333333333333,0.9333333333333331
01202011211424,2020-11-21 14:34:00,2020-11-21 14:34:00,1,off-street,Paid,0.0,0.3,0.3
01202011261359,2020-11-26 14:07:15,2020-11-26 14:08:30,0,on-street,Free,1.25,1.2,0.050000000000000044
01202011261456,2020-11-26 15:07:34,2020-11-26 15:07:34,1,off-street,Paid,0.0,0.0,0.0
01202012060924,2020-12-06 09:31:30,2020-12-06 09:35:15,0,on-street,Free,3.75,3.75,0.0
01202012060938,2020-12-06 09:41:30,2020-12-06 09:43:30,0,off-street,Free,2.0000000000000004,3.283333333333333,1.2833333333333328
01202012060947,2020-12-06 09:54:30,2020-12-06 09:54:30,0,off-street,Free,0.0,0.6,0.6
01202012060959,2020-12-06 10:04:15,2020-12-06 10:13:15,0,on-street,Free,9.0,7.716666666666667,1.2833333333333332
01202012061018,2020-12-06 10:22:30,2020-12-06 10:24:30,0,off-street,Free,2.0000000000000004,1.3333333333333333,0.6666666666666672
01202012061032,2020-12-06 10:39:30,2020-12-06 10:40:45,0,off-street,Free,1.25,1.65,0.3999999999999999
02202011031718_ohne_Fußweg,2020-11-03 17:23:50,2020-11-03 17:25:20,1,on-street,Paid,1.5,3.316666666666667,1.8166666666666669
02202011041509,2020-11-04 15:31:10,2020-11-04 15:36:10,0,on-street,Paid,5.0,8.166666666666666,3.166666666666666
02202011191619,2020-11-19 16:29:11,2020-11-19 16:30:42,1,on-street,Paid,1.5166666666666666,0.6333333333333333,0.8833333333333333
02202011241453,2020-11-24 15:15:10,2020-11-24 15:16:33,1,on-street,Free,1.3833333333333333,2.2666666666666666,0.8833333333333333
01202012100907,2020-12-10 09:16:45,2020-12-10 09:17:15,0,off-street,Free,0.5000000000000001,0.5166666666666667,0.016666666666666607
01202012100921,2020-12-10 09:23:45,2020-12-10 09:24:30,0,off-street,Free,0.75,0.9,0.15000000000000002
01202012100927,2020-12-10 09:36:30,2020-12-10 09:36:30,0,off-street,Free,0.0,0.7166666666666667,0.7166666666666667
01202012100939,2020-12-10 09:53:15,2020-12-10 09:54:30,0,on-street,Free,1.25,1.5333333333333334,0.28333333333333344
01202012100956,2020-12-10 10:05:30,2020-12-10 10:06:30,0,on-street,Free,1.0000000000000002,2.5833333333333335,1.5833333333333333
01202012101013,2020-12-10 10:17:00,2020-12-10 10:17:45,0,on-street,Free,0.75,0.3,0.45
01202012101027,2020-12-10 10:33:30,2020-12-10 10:46:15,0,on-street,Free,12.75,7.783333333333333,4.966666666666667
01202012101054,2020-12-10 11:03:45,2020-12-10 11:14:00,0,on-street,Free,10.25,10.25,0.0
01202012101121,2020-12-10 11:25:30,2020-12-10 11:28:15,0,on-street,Free,2.75,2.2,0.5499999999999998
01202012201457,2020-12-20 15:07:30,2020-12-20 15:08:00,0,off-street,Free,0.5000000000000001,0.2,0.3000000000000001
01202012201513,2020-12-20 15:19:15,2020-12-20 15:22:15,0,on-street,Illegal,3.0,3.6666666666666665,0.6666666666666665
01202012201526,2020-12-20 15:33:15,2020-12-20 15:34:15,0,off-street,Free,1.0000000000000002,1.0,2.220446049250313e-16
01202012201554,2020-12-20 15:58:30,2020-12-20 15:58:30,0,off-street,Illegal,0.0,0.4,0.4
01202012201604,2020-12-20 16:07:15,2020-12-20 16:07:15,0,off-street,Free,0.0,0.3,0.3
01202012201611,2020-12-20 16:16:15,2020-12-20 16:16:45,0,off-street,Free,0.5000000000000001,1.3166666666666667,0.8166666666666665
01202012201621,2020-12-20 16:26:45,2020-12-20 16:27:00,0,off-street,Free,0.25,0.4,0.15000000000000002
01202012201631,2020-12-20 16:38:00,2020-12-20 16:38:00,0,off-street,Free,0.0,0.3,0.3
01202012201642,2020-12-20 16:47:15,2020-12-20 16:49:00,0,on-street,Free,1.75,1.0,0.75
01202012201655,2020-12-20 17:01:45,2020-12-20 17:01:45,0,on-street,Free,0.0,0.3,0.3
01202101071051,2021-01-07 10:58:50,2021-01-07 10:58:50,0,off-street,Free,0.0,0.0,0.0
01202101071101,2021-01-07 11:11:50,2021-01-07 11:14:30,0,off-street,Paid,2.6666666666666665,2.8,0.1333333333333333
01202101071118,2021-01-07 11:23:00,2021-01-07 11:23:25,0,on-street,Free,0.4166666666666667,1.5166666666666666,1.0999999999999999
01202101071125,2021-01-07 11:34:10,2021-01-07 11:38:35,0,on-street,Free,4.416666666666667,3.683333333333333,0.7333333333333338
01202101071143,2021-01-07 11:52:50,2021-01-07 11:53:30,0,on-street,Free,0.6666666666666666,0.7666666666666667,0.10000000000000009
01202101071155,2021-01-07 11:59:30,2021-01-07 12:00:30,0,off-street,Free,1.0000000000000002,1.0,2.220446049250313e-16
01202101071220,2021-01-07 12:25:40,2021-01-07 12:25:40,0,off-street,Free,0.0,0.1,0.1
01202101071226,2021-01-07 12:30:20,2021-01-07 12:30:20,0,off-street,Free,0.0,0.2,0.2
01202101071232,2021-01-07 12:44:05,2021-01-07 12:45:45,0,off-street,Free,1.6666666666666667,2.0166666666666666,0.34999999999999987
01202101071250,2021-01-07 12:55:15,2021-01-07 12:56:45,0,off-street,Free,1.5,1.3,0.19999999999999996
01202101081025,2021-01-08 10:43:45,2021-01-08 10:43:45,0,on-street,Free,0.0,0.2,0.2
01202101081044,2021-01-08 10:52:00,2021-01-08 10:52:45,0,off-street,Free,0.75,2.3,1.5499999999999998
01202101081056,2021-01-08 11:02:45,2021-01-08 11:03:30,0,off-street,Free,0.75,1.0,0.25
01202101081107,2021-01-08 11:14:00,2021-01-08 11:14:00,0,off-street,Free,0.0,1.3333333333333333,1.3333333333333333
01202101081115,2021-01-08 11:21:30,2021-01-08 11:21:30,0,off-street,Free,0.0,0.8,0.8
01202101081125,2021-01-08 11:32:00,2021-01-08 11:33:30,0,off-street,Free,1.5,1.5,0.0
01202101081135,2021-01-08 11:44:45,2021-01-08 11:45:45,0,off-street,Free,1.0000000000000002,1.2333333333333334,0.23333333333333317
01202101081147,2021-01-08 11:55:45,2021-01-08 11:55:45,0,off-street,Free,0.0,0.6,0.6
01202101081218,2021-01-08 12:22:45,2021-01-08 12:23:30,0,off-street,Paid,0.75,0.7,0.050000000000000044
01202101081224,2021-01-08 12:33:30,2021-01-08 12:33:30,0,off-street,Free,0.0,0.1,0.1
01202101081234,2021-01-08 12:39:30,2021-01-08 12:40:15,0,off-street,Free,0.75,0.5,0.25
01202102221814,2021-02-22 18:22:25,2021-02-22 18:23:10,0,on-street,Free,0.75,2.0166666666666666,1.2666666666666666
01202102221824,2021-02-22 18:31:45,2021-02-22 18:35:30,0,on-street,Free,3.75,3.45,0.2999999999999998
01202102221840,2021-02-22 18:49:30,2021-02-22 18:51:10,0,off-street,Free,1.6666666666666667,1.4333333333333333,0.2333333333333334
01202102221857,2021-02-22 19:01:00,2021-02-22 19:03:15,0,off-street,Free,2.25,4.65,2.4000000000000004
01202102221912,2021-02-22 19:17:00,2021-02-22 19:17:00,0,on-street,Free,0.0,0.4,0.4
01202102221918,2021-02-22 19:26:00,2021-02-22 19:26:15,0,on-street,Free,0.25,0.7,0.44999999999999996
01202102221934,2021-02-22 19:38:15,2021-02-22 19:40:30,0,on-street,Free,2.25,0.9,1.35
01202102221943,2021-02-22 19:46:30,2021-02-22 19:47:00,0,on-street,Free,0.5000000000000001,0.6,0.09999999999999987
01202102221950,2021-02-22 19:56:00,2021-02-22 19:59:00,0,on-street,Free,3.0,3.216666666666667,0.21666666666666679
01202102222002,2021-02-22 20:09:45,2021-02-22 20:09:45,0,on-street,Free,0.0,0.7,0.7
01202102222011,2021-02-22 20:16:15,2021-02-22 20:19:30,0,on-street,Free,3.25,4.033333333333333,0.7833333333333332
01202102231920,2021-02-23 19:30:45,2021-02-23 19:32:45,0,on-street,Free,2.0000000000000004,2.2,0.19999999999999973
01202102231938,2021-02-23 19:41:45,2021-02-23 19:46:45,0,on-street,Free,5.0,6.2,1.2000000000000002
